simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
4,3,1,458807657,20.0257,300,17,0.0068098,0.025442,0.061307,0.44026,0.88199,0.26868,1.746,0.21048,0.32467,3.2038,0.076272,3.2039,2.4837,1e-05         0.1,0.31963,0.23244,0.034351,0.0021383,0.046686,0.0025044,0.059771,0.0012884,
4,2,1,505770628,21.8517,300,17,0.0093518,0.027882,0.067185,0.45361,1.0065,0.30659,1.968,0.25017,0.38589,0.28601,2.8097,0.28602,3.7732,1e-05         0.1,0.21215,0.16725,0.099657,0.0199,0.2108,0.019015,0.25228,0.023017,
1,2,3,2281065123,18.5344,300,17,0.021125,0.013503,0.081865,0.78111,0.69454,0.31309,2.0143,0.23417,0.39779,0.14409,1.1164,0.14412,2.091,1e-05         0.1,0.55919,0.29457,0.11444,0.017707,0.21879,0.022589,0.37987,0.017613,
1,3,2,942669338,23.8313,600,24,0.0066641,0.010688,0.064796,0.60459,0.65925,0.29718,1.9219,0.20312,0.34505,1.1642,0.051266,1.1643,1.2762,1e-05         0.1,0.32057,0.3362,0.041556,0.0040308,0.046331,0.003454,0.060374,0.001725,
4,2,2,2715174058,19.7495,900,30,0.014078,0.029895,0.072036,0.47625,0.87468,0.26645,1.6787,0.24962,0.38504,0.07461,0.74348,0.074636,1.0101,1e-05         0.1,0.11018,0.089823,0.076547,0.020095,0.10789,0.022543,0.20069,0.018167,
1,3,2,2277297124,16.6415,300,17,0.022985,0.014853,0.090049,0.86626,0.74377,0.33528,2.1491,0.22633,0.38448,2.4351,0.10723,2.4353,2.6694,1e-05         0.1,0.35531,0.32659,0.048197,0.0062041,0.063109,0.0093463,0.066094,0.002656,
0,2,3,2287999128,20.3149,1200,34,0.0035225,0.0040993,0.069421,0.43619,0.37605,0.27817,1.7478,0.079656,0.37022,0.073609,0.57062,0.073639,1.0695,1e-05         0.1,0.24928,0.071766,0.057249,0.015371,0.072032,0.015102,0.11476,0.015949,
1,1,2,2522948894,21.0598,600,24,0.0085409,0.011679,0.070805,0.58611,0.69226,0.31206,1.9998,0.22404,0.38059,1.391,0.071143,1.3911,1.7918,1e-05         0.1,0.75058,1.5138,0.031267,0.0027721,0.034961,0.0032676,0.038467,0.0021849,
4,3,2,4119235989,27.9562,600,24,0.0064178,0.019852,0.047837,0.36006,0.80861,0.24632,1.6341,0.19247,0.29689,3.0876,0.062885,3.0877,2.3,1e-05         0.1,0.1801,0.18792,0.020594,0.0017174,0.025153,0.0028043,0.019045,0.0011004,
1,2,2,2611121633,17.0163,300,17,0.01524,0.018317,0.11105,0.99556,0.80428,0.36256,2.3308,0.22895,0.38893,0.14428,1.4797,0.1443,2.1222,1e-05         0.1,0.31628,0.30628,0.13919,0.025912,0.30199,0.036439,0.29955,0.024725,
