simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,1157478013,10.4024,600,24,0.0038347,0.0040294,0.064504,0.40529,0.33615,0.33574,2.1095,0.14865,0.93286,1.1708,0.079902,1.1709,1.6412,0.041667,0.55072,0.27251,0.12348,0.28588,0.12111,0.33072,0.13364,
0,1,4081205227,10.9556,900,30,0.0033103,0.0047261,0.075657,0.47537,0.34494,0.34452,2.1647,0.10916,0.68506,1.4015,0.070249,1.4019,1.8142,0.033333,0.39974,0.21992,0.10884,0.22511,0.10294,0.26909,0.11978,
0,1,3262597617,10.3734,600,24,0.019151,0.0047491,0.076026,0.47769,0.33042,0.33002,2.0736,0.095016,0.59627,0.81486,0.093285,0.81514,1.2845,0.041667,0.61727,0.42406,0.20572,0.46336,0.19783,0.49243,0.18419,
0,1,318882644,10.4467,600,24,0.004829,0.0036133,0.057844,0.36344,0.32546,0.32506,2.0424,0.11113,0.69738,0.90006,0.056825,0.90041,1.1796,0.041667,0.52132,0.28343,0.12179,0.32921,0.12887,0.33451,0.1066,
0,1,3810889415,10.4635,600,24,0.0028977,0.0037681,0.060322,0.37901,0.33142,0.33101,2.0798,0.092834,0.58258,1.1606,0.079237,1.1609,1.4746,0.041667,0.4836,0.27107,0.12806,0.3013,0.11973,0.32394,0.12581,
0,1,2978342184,10.5259,600,24,0.018898,0.003937,0.063026,0.396,0.30014,0.29977,1.8835,0.074723,0.46893,1.6935,0.094164,1.6937,2.2419,0.041667,0.4779,0.24004,0.10442,0.2779,0.10605,0.26384,0.07864,
0,1,1809291569,10.9961,900,30,0.0017948,0.0053548,0.085721,0.5386,0.30615,0.30577,1.9212,0.095952,0.60214,1.1148,0.088114,1.1153,1.5092,0.033333,0.49122,0.25448,0.13782,0.27862,0.13112,0.27869,0.14343,
0,1,1384871165,11.0531,900,30,0.0014202,0.0044974,0.071996,0.45236,0.31972,0.31933,2.0064,0.13199,0.82833,1.6527,0.16765,1.6529,2.4236,0.033333,0.49335,0.28008,0.15559,0.32451,0.17274,0.32093,0.1747,
0,2,2109592298,9.7171,300,17,0.0094784,0.0057674,0.092327,0.58011,0.38215,0.38168,2.3982,0.11656,0.73145,2.3186,0.10645,2.3191,2.9279,0.058824,0.48116,0.31231,0.098756,0.29064,0.09578,0.36704,0.080025,
4,3,4160485508,11.3607,600,24,0.028809,0.0525,0.094501,0.45434,0.6421,0.32449,1.8117,0.47054,0.51928,2.5373,0.085064,2.5375,2.7061,0.041667,0.57638,0.33903,0.12452,0.4201,0.14894,0.34021,0.13607,
