simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,2,2723719778,6.6735,300,17,0.02978,0.25438,0.18525,1.164,2.4048,0.48094,3.0218,0.81374,1.0225,36.0831,0.1145,36.0842,10.926,0.058824,0.30882,0.099353,0.030822,0.13456,0.033553,0.1412,0.032766,
0,2,865642870,6.5944,300,17,0.0051732,0.17111,0.12461,0.78297,1.9274,0.38547,2.422,0.46691,0.58671,65.7243,0.16185,65.7273,18.1156,0.058824,0.36756,0.13257,0.025216,0.16944,0.02438,0.28507,0.019297,
1,2,3572286255,15.7124,600,24,0.0042826,0.31981,0.060942,0.44368,2.2431,0.24248,1.474,0.80934,0.32338,53.0375,0.066712,53.0388,10.998,0.041667,0.293,0.06654,0.029361,0.07129,0.025897,0.083664,0.026875,
4,1,1933492595,12.221,600,24,0.0089416,0.22165,0.054315,0.34152,2.4549,0.2103,1.3388,0.73932,0.32822,42.3817,0.10605,42.3843,8.7619,0.041667,0.23399,0.05916,0.025095,0.062848,0.021613,0.10058,0.025429,
0,2,2872451414,6.6996,300,17,0.0094511,0.18858,0.13733,0.86289,2.1105,0.42208,2.652,0.61822,0.77685,65.9124,0.16101,65.9151,18.9425,0.058824,0.32224,0.095749,0.025288,0.12461,0.021411,0.16237,0.021824,
4,1,3828282979,12.7827,600,24,0.011973,0.26981,0.066116,0.42967,2.776,0.23781,1.4885,0.88927,0.39479,41.7532,0.071433,41.7555,7.8108,0.041667,0.26383,0.064967,0.024918,0.06826,0.02572,0.11713,0.029602,
1,2,437952463,17.6497,600,24,0.0074721,0.47835,0.091151,0.59045,2.5911,0.2801,1.7043,1.1229,0.44865,48.1917,0.10988,48.1932,11.5382,0.041667,0.30003,0.096347,0.025182,0.12201,0.027904,0.17599,0.022243,
0,2,2216832631,6.5745,300,17,0.0090916,0.18154,0.13221,0.83067,2.1559,0.43116,2.709,0.87969,1.1054,38.3129,0.17108,38.3141,11.3347,0.058824,0.42841,0.1382,0.037097,0.16251,0.033142,0.23732,0.035338,
1,3,2783684009,14.8512,300,17,0.013396,0.43514,0.082919,0.70272,2.9705,0.32111,2.0175,0.95538,0.38173,135.6506,0.14594,135.6518,24.3685,0.058824,0.49507,0.075872,0.018839,0.11097,0.033625,0.12521,0.021417,
0,2,2173565935,6.6435,300,17,0.0092703,0.17157,0.12495,0.78508,1.9258,0.38515,2.4199,0.52255,0.65663,37.5571,0.14678,37.5581,11.1162,0.058824,0.44492,0.17483,0.036649,0.2557,0.038491,0.37968,0.026847,
1,3,2054173998,9.6938,600,24,0.007041,0.17974,0.034251,0.40386,2.0645,0.22317,1.4772,0.67308,0.26893,47.9342,0.053813,47.9346,9.3316,0.041667,0.51611,0.091847,0.020411,0.12975,0.026125,0.15319,0.016675,
1,3,4118188596,9.7072,600,24,0.005752,0.19592,0.037334,0.38193,2.0907,0.22601,1.4486,0.64933,0.25944,77.3932,0.080657,77.3942,13.1406,0.041667,0.44698,0.077484,0.016787,0.093823,0.016721,0.13421,0.017793,
1,2,2047785230,18.8787,600,24,0.017182,0.25996,0.049538,0.46763,2.2612,0.24444,1.5461,0.68516,0.27376,32.9057,0.058957,32.9069,6.9798,0.041667,0.32938,0.071652,0.025674,0.082078,0.024315,0.09308,0.024176,
0,2,3035013489,6.7622,300,17,0.015753,0.1536,0.11186,0.70285,1.829,0.3658,2.2984,0.43921,0.55191,49.2254,0.16157,49.2278,13.3339,0.058824,0.31119,0.11544,0.033734,0.13589,0.033487,0.24687,0.024934,
0,2,637596155,6.7544,300,17,0.017672,0.14236,0.10367,0.6514,1.7491,0.34981,2.1979,0.54083,0.6796,39.898,0.16585,39.8993,11.1779,0.058824,0.39902,0.13497,0.033931,0.19916,0.031406,0.21882,0.028688,
0,2,2213180474,11.3638,600,24,0.0016742,0.10577,0.077026,0.48397,1.6432,0.32864,2.0649,0.44478,0.55891,23.9933,0.13003,23.9954,7.387,0.041667,0.3505,0.12281,0.038573,0.12978,0.032059,0.19828,0.026844,
0,2,9333936,11.4686,600,24,0.016831,0.12404,0.090337,0.56761,1.6486,0.32971,2.0716,0.47486,0.5967,33.8335,0.10596,33.8342,9.3907,0.041667,0.27855,0.078895,0.024519,0.082655,0.025173,0.12218,0.023719,
0,3,3418632840,7.0767,600,24,0.0033837,0.10987,0.080013,0.50274,1.6887,0.33772,2.122,0.40986,0.51502,24.1152,0.048675,24.1159,6.1029,0.041667,0.29052,0.042486,0.02108,0.043915,0.018277,0.049507,0.014947,
0,3,2017061508,10.5318,300,17,0.0096905,0.10749,0.078279,0.49184,1.661,0.33219,2.0872,0.39287,0.49368,77.1284,0.14954,77.1289,20.7475,0.058824,0.42836,0.14842,0.025769,0.1974,0.021433,0.35251,0.014087,
0,3,1565872060,7.151,600,24,0.0045318,0.13089,0.095325,0.59895,1.7969,0.35937,2.258,0.45422,0.57076,38.8668,0.10025,38.8677,9.3247,0.041667,0.31898,0.053217,0.022356,0.071071,0.02523,0.079773,0.023225,
0,2,783300905,11.434,600,24,0.0044456,0.10874,0.079191,0.49757,1.5574,0.31148,1.9571,0.4122,0.51796,23.0962,0.062034,23.0985,6.0478,0.041667,0.19774,0.062866,0.023801,0.06942,0.025562,0.07821,0.017334,
0,3,2846592610,10.6378,300,17,0.0078899,0.11461,0.083469,0.52445,1.8609,0.37218,2.3385,0.54127,0.68016,31.3743,0.099867,31.3759,8.1405,0.058824,0.45439,0.098851,0.024486,0.1038,0.024599,0.18985,0.022321,
1,3,3566911273,15.5311,300,17,0.027385,0.27361,0.052138,0.55075,2.6587,0.28741,1.896,0.64908,0.25934,78.2765,0.1102,78.2779,14.5089,0.058824,0.56555,0.10912,0.024428,0.18749,0.028847,0.19841,0.023798,
0,2,2680832225,11.468,600,24,0.0045592,0.11129,0.081047,0.50923,1.5464,0.30927,1.9432,0.47095,0.59179,34.5517,0.085038,34.5523,9.5873,0.041667,0.18402,0.054584,0.023784,0.074876,0.027864,0.077394,0.027248,
4,1,3819071583,12.8445,900,30,0.0088786,0.23405,0.057354,0.37848,2.5305,0.21678,1.3737,0.8074,0.35845,50.1328,0.089881,50.1344,8.6022,0.033333,0.25443,0.037879,0.019092,0.036651,0.018808,0.042598,0.016308,
0,3,1194950905,10.6144,300,17,0.019385,0.19047,0.13871,0.87155,1.9602,0.39203,2.4632,0.50813,0.63851,102.7012,0.2328,102.7061,23.6483,0.058824,0.3729,0.068027,0.024657,0.084489,0.019763,0.10274,0.020367,
1,3,716630244,14.7281,600,24,0.0028089,0.22938,0.043709,0.38149,1.9914,0.21527,1.3627,0.8884,0.35497,35.0069,0.073743,35.0078,7.6772,0.041667,0.38081,0.039188,0.0153,0.040758,0.016142,0.046086,0.013636,
0,3,2162427994,10.622,300,17,0.005683,0.12047,0.087734,0.55125,1.8945,0.37888,2.3806,0.53362,0.67054,29.2698,0.077497,29.2707,8.3385,0.058824,0.42669,0.097232,0.026629,0.12038,0.027433,0.15834,0.016108,
